Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
STEFANY;ES00337444;3410386386;1,7;6,91;Motor;10;;;2;;Deferida;ES;6.03.001;6.6;6. Diversificada;2006
STELA;SC00220894;4418906878;2;7,96;Motor;18;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2007
STELA III;SC00305707;441M2017004121;1;6,46;Motor;18;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2017
STELA MARES I;SC00052797;4450059671;3;8,6;Motor;18;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1984
STELA MARIS;SC00082978;4430053430;0,7;7,65;Motor;6;2;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1976
STELA MARIS III;SC00011467;4430114595;102;22,2;Motor;320;;20000;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2003
STELLA;SP00143145;4010776137;1,4;7,8;Motor;11;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;1996
STELLA MAR;SC00309785;4451115191;1;6,85;Motor;12;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2014
STELLA MARES;RJ00099105;3870059915;4,6;9;Motor;33;;;2;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;1999
STELLA MARINA;SP00080446;4430071624;4,2;8,5;Motor;45;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1983
STELLA MARIS;SC00228930;4410153323;1;7,8;Motor;16,5;1,5;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1989
STENIO II;CE00031937;1610061322;0,7;5,18;Vela;;;;4;60;Deferida;CE;5.01.004;5.3;5. Armadilha;2002
STENOPUS;SP00094257;4030189245;4,8;8,6;Motor;22;;;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1989
STEPHANI;SC00189201;4418893245;1;7,56;Motor;9;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
STEPHANIE SEIF I;SC00008876;4430117080;51;18,5;Motor;300;;12000;4;;Deferida;SC;1.01.002;1.1;1. Linha;2004
STHEFANNY I;MA00203818;1210120704;5;8,8;Motor;60;;2000;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2001
STHEFANY;SC00155668;441M2008000100;;5,2;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
STO ANTONIO;PA00095259;210290765;6,6;8,6;Motor;18;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2002
STO EXPEDITO II;AP00268300;220099570;1;8,5;Motor;95;;100;1;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2012
STOK;BA00229748;2810280941;1,6;5,6;Motor;11;;;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2007
STRIMAR;SC00219947;441M2013006761;;5,08;Motor;25;;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;1997
STRIMAR II;SC00261584;4418912177;1;7,17;Motor;11;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2015
STRIMAR VI;SC00336470;441M2018000398;1;4,7;Motor;15;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
STUART I;SC00165899;4410462806;;7,6;Motor;16;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2000
SU;PR00295759;421M2011001798;;5,5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2011
SUA FILHA;CE00271831;161M2007005802;;4,69;Vela;;;;4;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2004
SUA M_E;CE00025188;161M2006002439;;4,76;Vela;;;;3;60;Deferida;CE;5.01.004;5.3;5. Armadilha;2003
SUAPE;RJ00047010;3877042333;7;11,1;Motor;40;;;4;;Deferida;RJ;2.04.001;2.4;2. Rede de Emalhe;2003
SUAVE VENENO ES;CE00035035;1630037613;2,5;8,91;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;2000
SUB PERUIBE;SP00316640;401M2019007740;;6,8;Motor;15;;;2;;Deferida;SP;6.03.001;6.6;6. Diversificada;2019
SUCATINHA;RJ00204314;386M2011001651;;4,95;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1983
SUCESSO I;SC00082966;4430108731;1,6;7,8;Motor;18;;;6;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1999
SUCESSOR;SC00217761;4430482624;2;7,25;Motor;14;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
SUCURI;SC00173170;442M2011000871;;5,5;Motor;5,5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
SUCURI II;PA00141781;210997516;8;9,8;Motor;22;;;2;;Deferida;PA;1.03.004;1.5;1. Linha;2010
