Nome da Embarca__o;N_mero de Inscri__o no RGP (PPP ou RAEP);N_mero de Inscri__o na Marinha do Brasil;AB;Comprimento;Propuls_o;HP;Capacidade do Por_o;Volume do Tanque;Tripula__o;N_mero de Covos;Status;UF;N_mero da Frota;C_digo IN;Petrecho;Ano de Constru__o
COPACABANA II;MA00201476;1210111306;4,7;9,05;Motor;60;;2000;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;1999
COPACABANA III;PR00074837;4010005301;49;15,8;Motor;270;;;4;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1922
COPACABANA SB;CE00100971;1620018764;3,1;8,1;Vela;;;;5;110;Deferida;CE;5.01.004;5.3;5. Armadilha;1992
COPACABANA VII;PR00074875;4210224766;6,3;12;Motor;160;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1985
COPAMAR II;BA00187827;2930031972;8;9;Motor;44;;;;;Deferida;BA;1.06.003;1.12;1. Linha;2008
COPAMAR III;BA00187815;2930031964;9;9;Motor;44;;;5;;Deferida;BA;1.06.003;1.12;1. Linha;2008
COPANECO;RJ00173810;3810229857;1,9;7;Motor;90;;;1;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;1975
COPERA;RJ00131018;3840038405;1,5;5,3;Motor;10;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1968
COPILOTO;PI00122189;1410109186;4,6;8,5;Motor;44;;6000;3;;Deferida;PI;3.02.001;3.4;3. Rede de Arrasto;2002
COPS;RJ00074899;3850001814;6,8;10;Motor;33;;;4;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1987
COQUEIRAIS;CE00269480;162M2013000758;;4,12;Vela;;;;3;;Deferida;CE;2.02.002;2.5;2. Rede de Emalhe;2012
CORA__O;PE00247370;2010055802;1,7;6,8;Motor;0;;;3;;Deferida;PE;5.01.006;5.9;5. Armadilha;1985
CORACAO ALADO IV;CE00033039;161M2007006370;;4,75;Vela;;;;3;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2003
CORACAO ALADO - V;CE00034007;161M2007004571;;4,39;Vela;;;;4;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2003
CORA_AO DE DEUS;AP00266928;220093636;1,43;9,2;Motor;15;;200;2;;Deferida;AP;2.04.002;2.10;2. Rede de Emalhe;2011
CORA__O DE JESUS I;PB00203528;2010077865;4,1;8,5;Motor;22;;;5;;Deferida;PB;6.03.003;6.5;6. Diversificada;2006
CORA__O DE JESUS I;MA00277907;1210129311;;9,82;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2007
CORA__O DE M_E;BA00243224;2930024500;1,6;7,19;Motor;;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2006
CORA__O DE M_E II;MA00199818;1210139260;2;8,97;Motor;18;;;3;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2011
CORA__O DE UM GUERREIRO;PE00275549;2210170184;4;7,7;Motor;20;;;4;;Deferida;PE;5.01.006;5.9;5. Armadilha;
CORA__O DO MAR;PR00280066;421M2009000643;;7;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2008
CORA__O DO OCEANO V;SC00218817;443M2011003033;1;6,95;Motor;12;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2011
CORA__O FISGADO;RJ00180761;387M2010000691;;5,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2009
CORA__O VALENTE;PA00103137;210258110;3;9,7;Motor;14;;600;2;;Deferida;PA;2.00.000;null;2. Rede de Emalhe;1994
CORA__O VALENTE;SC00232137;4420230487;1,6;8;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
CORA__O VALENTE;SC00079635;4420135794;2,3;8,42;Motor;11;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1983
CORA__O VALENTE;SP00345437;4019983755;1,31;6,95;Motor;15;;;1;;Deferida;SP;6.03.004;6.7;6. Diversificada;2020
Cora__o Valente de Gurupa;PA00159518;210246677;2,8;8,8;Motor;18;;;3;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1987
CORA__O VALENTE I;SC00335664;4418923764;1;5,5;Motor;12;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2017
CORADELLO;ES00341409;3410392751;8;7,8;Motor;45;;;4;;Deferida;ES;1.06.001;1.14;1. Linha;2020
CORAGEM;RJ00152138;387M2012001905;;6;Motor;75;;;2;;Deferida;RJ;1.02.002;1.7;1. Linha;2011
CORAJOSO;SC00344009;442M2020001410;1,99;6,2;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2020
CORAL;SC00229940;441M2008005071;;6;Remo;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2005
CORAL;SC00053585;4450081331;2;8,2;Motor;18;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1995
CORAL I;BA00187921;2930032260;6;6,5;Motor;11;;;;;Deferida;BA;6.03.001;6.6;6. Diversificada;2009
CORAL I;SC00054581;4430117870;2,4;8,8;Motor;18;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2004
CORAL III;SC00167307;4418893849;1;6,38;Motor;12;;;4;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2005
CORAL III;SP00004836;4030185703;7;10,2;Motor;90;;1200;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1990
CORAL IV;SC00320511;441M2016004083;1;5,09;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
CORDEIRO DA PAZ;SC00303427;4430480206;2;6;Motor;10;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;2012
CORDEIRO DE DEUS;SC00176748;4418897933;8;9,5;Motor;60;;600;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2011
CORDEIRO DE DEUS;MA00278497;1210143330;;10;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2003
CORDEIRO DE DEUS;SC00054601;4430121702;9,4;11,15;Motor;90;;1750;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2006
CORDEIRO DE DEUS;AL00255781;2412229741;2;11,34;Motor;60;;400;4;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;2014
CORDEIRO DE DEUS;BA00245258;3410148744;9,9;10;Motor;;;;6;;Deferida;BA;1.06.003;1.12;1. Linha;1999
CORDEIRO DE DEUS DE BRAGANCA;PA00159526;210277033;3,1;8;Motor;18;;;4;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2000
CORDEIRO DE DEUS DE TUCUMATEUA;PA00102619;210290706;4;8,6;Motor;18;;;;;Deferida;PA;2.00.000;null;2. Rede de Emalhe;2002
CORDEIRO DE DEUS E;SC00318538;4430500312;271;27;Motor;600;;64000;11;;Deferida;SC;3.10.002;3.13;3. Rede de Arrasto;2018
CORDEIRO DE DEUS I;RJ00113090;3877046410;8;11,18;Motor;65;;;4;;Deferida;RJ;1.06.001;1.14;1. Linha;2007
CORDEIRO DE DEUS II;SC00009406;4430112738;35;16;Motor;180;;10000;4;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;2002
CORDEIRO DE DEUS III;SC00282014;4430488983;1;7,14;Motor;18;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
CORDEIRO DE DEUS III;SC00056027;4610031434;10;11,88;Motor;114;3,46;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1969
CORDEIRO DE DEUS J;SC00011131;4430112878;72;20,7;Motor;270;;18000;10;;Deferida;SC;2.03.001;2.3;2. Rede de Emalhe;2002
CORDEIRO DE DEUS MS;CE00324977;1620024292;19;12,1;Motor;50;;2000;3;;Deferida;CE;1.03.005;1.6;1. Linha;2017
CORDEIRO DE DEUS VI;CE00102359;161M2009000568;;5,13;Vela;;;;4;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2003
CORDEIRO DE DEUS XV;AL00302747;2412234809;9;9,6;Motor;56;;;5;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;2016
CORDEIRO DE DEUS XX;BA00256617;2820081282;5;8,7;Motor;80;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2004
CORDEIRO LE_O;SP00165279;4010785934;1,4;7;Motor;30;;;1;;Deferida;SP;2.04.001;2.4;2. Rede de Emalhe;1997
CORDIAL;SC00173908;4418901019;1;6,95;Motor;18;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2010
CORDILHEIRA;PR00074907;4211461931;0,3;6,65;Motor;11;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2000
CORENAV I;PA00000620;1610042131;93;22;Motor;375;;57284;5;;Deferida;PA;3.02.003;3.3;3. Rede de Arrasto;1981
CORINA;RJ00061638;4030051405;8,7;10,5;Motor;60;;;2;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1968
CORINGA I;SC00289478;4418917012;1,2;6,08;Motor;11;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
CORINTIANO;SC00235129;4450082877;1,1;6,44;Motor;11;;;;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1999
CORINTIANO;SP00310074;4039152182;1,2;6,3;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2018
CORINTO;SC00210969;441M2008002781;1;3,4;Motor;6,5;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1983
CORIO;CE00027998;161M2007002048;;4,99;Vela;;;;4;30;Deferida;CE;5.01.004;5.3;5. Armadilha;2005
CORO;PE00269118;221M2006000402;;5;Remo;;;;2;;Deferida;PE;2.02.002;2.5;2. Rede de Emalhe;2002
COROA DA VIGIA;PA00136998;210984295;49;12,15;Motor;49;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2009
COROA GRANDE II;PE00015861;2930020431;3,1;9;Motor;;;;5;200;Deferida;PE;5.01.001;5.1;5. Armadilha;2001
COROA GRANDE IV;PE00015875;2930020440;5;9,5;Motor;;;;5;220;Deferida;PE;5.01.001;5.1;5. Armadilha;2008
COROA III;SP00334428;401M2022007286;;7,02;Remo;;;;4;;Deferida;SP;6.03.001;6.6;6. Diversificada;2022
COROVINA;PR00298037;421M2006001615;;5,12;Remo;;;;1;;Deferida;PR;6.04.001;null;6. Diversificada;2001
CORREA;SP00082338;4010265973;1,8;6,5;Motor;10;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1973
CORRE ATR_S;RJ00216507;3810495981;10;6;Motor;9;;;6;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2000
CORRE COSTA;BA00240728;2930021691;5,1;8,7;Motor;;;;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2001
CORRE COSTA;SP00320107;4039154070;2;7,75;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2019
CORRE COSTA;SP00074767;4030202969;2,1;9;Motor;45;;300;2;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1992
CORRE COSTA I;SP00326085;4039157133;2;7,75;Motor;15;;;1;;Deferida;SP;6.03.001;6.6;6. Diversificada;2020
CORREIA;SC00343309;442M2015003731;1,99;6;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2015
CORREIO DO MAR;AL00222146;2412224919;3,6;10,5;Motor;95;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;2008
CORRE QUENTE;RJ00249148;387M2009000640;;4,24;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2005
CORSA;PA00103035;210985445;13;14;Motor;129;;15000;4;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;1993
CORSARIO;SC00180067;4410167561;2,1;8,84;Motor;12;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1997
CORSARIO;RJ00074919;3860010948;5,8;8;Motor;11;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1991
CORS_RIO I;SC00057181;4410136674;9;13;Motor;60;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1985
CORSARIO II;SC00301255;4410165925;2,8;8;Motor;11;2,8;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;1996
CORSARIO II;AL00221698;2210127190;6,4;11;Motor;60;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;1995
CORSARIO III;SC00051117;4410143441;3,8;9;Motor;45;;;3;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1986
CORSARIO NEGRO II;CE00095475;1410083713;8,5;11,29;Motor;45;;5712;6;300;Deferida;CE;5.01.003;5.2;5. Armadilha;1986
CORSARIO NEGRO III;CE00307265;1630047104;33;14,64;Motor;108;;;6;;Deferida;CE;1.06.003;1.12;1. Linha;2017
CORSARIO VI;CE00099749;1620019221;5;8,09;Motor;68;;;5;200;Deferida;CE;5.01.001;5.1;5. Armadilha;1987
CORSARIO X;PR00074927;4420158212;0,6;10;Motor;22;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1989
CORS_RIO X;AL00221650;2410148816;8,3;10,5;Motor;48;;;3;;Deferida;AL;3.02.005;3.5;3. Rede de Arrasto;1994
CORSARIUS;SC00306527;4451116503;1;6,4;Motor;22;;;;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2015
CORSSARIO;SC00067770;4410448137;2;8,3;Motor;18;2;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
CORTA MAR_;RJ00170844;387M2010001328;;5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2008
CORTAMAR V;SP00074931;4010777192;0,6;5,83;Motor;15;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1996
CORTA VENTO;RJ00225118;387M2010003401;;4,75;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2003
CORTA VENTO;RJ00132148;381M2010004562;0,6;4,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2006
CORTA VENTO II;SC00281708;4450095871;0,6;7,2;Remo;;;;2;;Deferida;SC;2.02.001;2.2;2. Rede de Emalhe;1956
CORTUME;PR00290101;421M2004002409;;5,29;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2003
CORUJA;SC00176164;442M2007000537;;5,5;Motor;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2006
CORUJA;RJ00133666;387M2011004149;;7;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1999
CORUJA;SC00340759;443M2022002738;1,99;5,4;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2021
CORUJA I;SC00216607;4450083270;0,7;6,5;Motor;;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2000
CORUJ_O;SC00052905;4418890521;5;8,07;Motor;18;;;6;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
CORUJ_O III;SC00051981;4420206021;4,8;9;Motor;22;;;;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2005
CORUJAS II;SC00342065;442M2023001029;1,99;6,3;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2021
CORUJITA;PR00287860;421M2008003723;;5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;1976
CORUJITA I;PR00114718;421M2010001178;;5,73;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2008
CORUMBA I;SC00009418;4010170131;80;22,3;Motor;325;;240000;7;;Deferida;SC;3.09.001;3.10;3. Rede de Arrasto;1974
CORUMBEZINHO;RJ00246908;3860010603;1,7;7,3;Motor;13;;;1;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1990
CORUMBEZINHO I;RJ00074945;4030106722;2,6;8;Motor;60;;;2;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1977
COSMO;BA00210089;2930020288;2,5;7,62;Motor;18;;;3;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2001
COSTA;RJ00109329;3830071523;0,4;5,52;Motor;3,3;;;;;Deferida;RJ;6.03.001;6.6;6. Diversificada;1986
COSTA;RJ00134950;387M2007000658;;6,5;Remo;;;;2;;Deferida;RJ;6.03.001;6.6;6. Diversificada;2007
COSTA;SC00049960;4420207884;2,6;9,85;Motor;60;;560;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;2006
COSTA AMENDOLA;SC00010899;4430078661;62;20,6;Motor;290;;18000;6;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;1985
COSTA AMENDOLA I;SC00010717;4430082031;65;20,16;Motor;235;;16000;4;;Deferida;SC;3.09.001;3.10;3. Rede de Arrasto;1985
COSTA AMENDOLA II;SC00010205;4430067333;82;22;Motor;300;;25000;4;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;1970
COSTA AZUL;SC00236235;4420223286;;9,3;Motor;;;;3;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;2010
COSTA AZUL I;RJ00145139;3830040733;3,3;7,4;Motor;56;;;4;;Deferida;RJ;2.02.001;2.2;2. Rede de Emalhe;1970
COSTA AZUL III;ES00123731;3410241701;20,2;12,35;Motor;180;;4000;6;;Deferida;ES;1.02.001;1.3;1. Linha;2006
COSTA AZUL IX;BA00229884;4010059061;;16,67;Motor;230;;;4;;Deferida;BA;1.06.003;1.12;1. Linha;1953
COSTA AZUL VIII;BA00229898;4010060417;26;16,6;Motor;320;;;7;;Deferida;BA;1.06.003;1.12;1. Linha;1954
COSTA AZUL X;BA00207760;2930014032;7,5;9,7;Motor;60;;400;;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1990
COSTA BELA;CE00026298;2010068106;3,1;7,65;Motor;;;;5;160;Deferida;CE;5.01.003;5.2;5. Armadilha;1991
COSTA CRUZ;RJ00074957;3850000117;6,3;9,5;Motor;33;;;3;;Deferida;RJ;3.02.002;3.9;3. Rede de Arrasto;1986
COSTA DA CACHOEIRA;SC00345259;441M2017003991;;5,87;Remo;;;;4;;Deferida;SC;6.08.004;6.11;6. Diversificada;1987
COSTA DO MARFIM;BA00207830;2881024661;4;8,6;Motor;33;;;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2009
COSTA DO MARFIM;BA00047926;2818891108;4;8,6;Motor;33;5,03;1318;1;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;2009
COSTA DO OURO;CE00015887;1620016699;8,7;10,25;Motor;45;;;4;250;Deferida;CE;5.01.003;5.2;5. Armadilha;1989
COSTA DOURADA X;PA00001926;1210112540;32;16,15;Motor;230;;30000;4;;Deferida;PA;1.09.002;1.9;1. Linha;2002
COSTA ESMERALDA;SC00169447;4418889124;5;8;Motor;95;;100;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2009
COSTA ESMERALDA;SC00313038;4418902546;1;5,85;Motor;15;;;;;Deferida;SC;6.03.004;6.7;6. Diversificada;2012
COSTA ESMERALDA L;SC00011145;4430113165;59;19,5;Motor;290;;12000;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2001
COSTA FILHO DO ANUERA;PA00109949;210302267;6;9,4;Motor;69;;;2;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;2004
COSTA FORTUNA M;SC00116964;4010148063;44;18,5;Motor;195;;12000;4;;Deferida;SC;3.03.001;3.6;3. Rede de Arrasto;1970
COSTA FREIRE;PR00283990;421M2008008113;;5,1;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2008
COSTA II;SC00074977;4420183811;0,4;5,85;Motor;9;;;1;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1998
COSTA II;BA00180141;2810247919;4,4;8,1;Motor;18;;1138;4;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1998
COSTA II;SC00209138;442M2002002092;;5,3;Motor;15;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
COSTA III;BA00002816;2810253358;5,1;8,5;Motor;21;;1538;2;;Deferida;BA;3.02.005;3.5;3. Rede de Arrasto;1996
COSTA LESTE;ES00105801;3410236961;21;13,8;Motor;125;;5778;7;;Deferida;ES;1.01.001;1.2;1. Linha;2003
COSTA LESTE II;SC00054639;4450071808;4;9,35;Motor;60;4,6;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1986
COSTAMAR;ES00098347;3410233512;21,1;13,49;Motor;120;;5547;7;;Deferida;ES;1.01.001;1.2;1. Linha;2002
COSTA MAR;SC00185129;442M2007003871;;4,2;Remo;;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
COSTAMAR BP;CE00315008;1630047767;49;14,9;Motor;240;;10000;8;;Deferida;CE;1.10.001;1.17;1. Linha;2018
COSTA MAR IV;SC00240624;441M2014004644;1;4,15;Remo;5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2004
COSTA MAR V;SC00240576;441M2014004652;;4,3;Remo;;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2013
COSTA NEGRA;PI00252701;1410112721;33;14,66;Motor;160;19;6000;6;;Deferida;PI;1.10.001;1.17;1. Linha;2014
COSTA NEVES CN;SC00009420;4430091234;99;24,9;Motor;325;;25000;4;;Deferida;SC;3.08.001;3.11;3. Rede de Arrasto;1988
COSTA NEVES I-CN;SC00009968;4010471778;81;22,2;Motor;325;;25000;4;;Deferida;SC;3.08.001;3.11;3. Rede de Arrasto;1982
COSTA NEVES II CN;SC00011885;4430082189;83;24,12;Motor;320;;26000;;;Deferida;SC;3.08.001;3.11;3. Rede de Arrasto;1984
COSTA NORTE I;SP00074981;4010584246;1,4;8;Motor;11;;;1;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1986
COSTA OLIVEIRA;SC00264790;4430107823;3,2;9,95;Motor;12;2,7;;2;;Deferida;SC;4.01.002;4.4;4. Rede de Cerco;1998
COSTA RICA;MA00000634;1620019817;5,8;8,6;Motor;52;;;3;;Deferida;MA;3.02.001;3.4;3. Rede de Arrasto;1995
COSTA RICA;PR00280960;421M2006001071;;5;Remo;;;;1;;Deferida;PR;6.04.001;null;6. Diversificada;1999
COSTA RICA;SC00288306;4420234717;1,6;8;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
COSTA RICA;PR00290545;421M2012001500;;6,5;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2011
COSTA RICA;RJ00046586;3850007456;5,1;9,5;Motor;33;;180;2;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;1990
COSTA RICA II;PR00054647;4210272388;3,2;9,4;Motor;11;;;1;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;1997
COSTA RICA II;SC00074995;4430083258;8;10,7;Motor;60;5;;4;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1986
COSTA RICA II;RJ00046078;3870061804;3;8,5;Motor;18;;20;5;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;2002
COSTA RICA IV;RJ00045068;3877041949;8,3;11,8;Motor;65;;1000;2;;Deferida;RJ;2.01.004;null;2. Rede de Emalhe;2003
COSTA RICA V;RJ00132050;3877046495;9;12,65;Motor;60;;;4;;Deferida;RJ;1.02.002;1.7;1. Linha;2006
COSTA RICA VII;RJ00245378;3877051332;10;13,7;Motor;180;;;3;;Deferida;RJ;4.01.002;4.4;4. Rede de Cerco;2014
COSTA SALES;SP00075007;4420130873;2,7;9,3;Motor;24;;;;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1983
COSTA SERENA I;SC00248394;442M2014002343;;4,8;Motor;15;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2014
costa silva;PA00132086;210260572;;9,3;Motor;16;;;;;Deferida;PA;2.04.003;2.11;2. Rede de Emalhe;
COSTA SUL;SP00270751;401M2012011101;;6,5;Motor;40;;;3;;Deferida;SP;1.06.001;1.14;1. Linha;2009
COSTA SUL;SP00075011;4010281880;16,8;12,6;Motor;115;;;4;;Deferida;SP;3.02.002;3.9;3. Rede de Arrasto;1976
COSTA SUL I;SC00050295;4410169441;0,8;8,5;Motor;14;;;5;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1999
COSTA SUL II;SC00041846;4210238007;11,7;13,4;Motor;140;;;4;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1987
COSTA SUL III;SC00293507;4430488908;2;8;Motor;18;;;3;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2016
COSTA SUL V;RS00039145;4610075326;37;14,91;Motor;195;;7500;4;;Deferida;RS;3.08.001;3.11;3. Rede de Arrasto;1986
COSTA VITORIA;ES00122209;3410237470;8,1;9,36;Motor;152;;7026;4;;Deferida;ES;1.01.001;1.2;1. Linha;2003
COSTEIRA;SC00052145;4410450085;1;8,5;Motor;15;1;12;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1990
COSTEIRA;SC00341851;4420236086;2;7;Motor;18;;;1;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2007
COSTEIRO;MA00221008;1210112906;5;8,4;Motor;33;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2001
COSTEIRO DO MAR;PA00100029;210321725;19;14,3;Motor;114;;;;;Deferida;PA;1.03.004;1.5;1. Linha;2008
COSTEIRO DO MAR I;PA00102751;210321997;18,2;14,3;Motor;114;;;;;Deferida;PA;1.03.004;1.5;1. Linha;2008
COSTEIRO I;MA00266828;1210142376;;8,17;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2001
COSTEIRO II;MA00266830;1210142384;;10;Motor;;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2001
COSTEIRO III;MA00231957;1210111331;6;8,5;Motor;45;;;;;Deferida;MA;2.04.002;2.10;2. Rede de Emalhe;2002
COTA;SC00075037;4420188103;2;8,2;Motor;14;;;2;;Deferida;SC;3.02.002;3.9;3. Rede de Arrasto;1999
COTA I;SC00208270;4430093709;3,5;8,75;Motor;24;;;4;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;1989
COYOTE;PR00152140;421M2006002841;;4,9;Remo;;;;2;;Deferida;PR;6.04.001;null;6. Diversificada;2005
C_ZA MASH QUIRIDA;SC00324957;441M2019002676;1;5;Motor;15;;;;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2017
COZA MAX QUERIDA;SC00321167;441M2019003974;1;4,53;Motor;5;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2015
CPT LUCAS;SC00342481;442M2018001410;1,99;5,5;Motor;15;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2018
CRACA;SC00225746;4418901230;0,3;6,89;Motor;50;;;2;;Deferida;SC;2.04.001;2.4;2. Rede de Emalhe;2002
CRECIO;PE00015907;2210148227;3,5;7,3;Motor;18;;;5;160;Deferida;PE;5.01.001;5.1;5. Armadilha;2000
CREILEI;ES00075049;3410133640;1,8;6,5;Motor;18;;1144;3;;Deferida;ES;3.02.002;3.9;3. Rede de Arrasto;1985
CREIO EM DEUS;RN00274927;1818893932;7;10,5;Motor;56;;;5;;Deferida;RN;2.02.002;2.5;2. Rede de Emalhe;2012
CREPUSCULO I;PR00054651;4211491610;3;9,34;Motor;18;;;2;;Deferida;PR;3.02.002;3.9;3. Rede de Arrasto;2003
